Technique,Direction,Items,Milliseconds
Automapper,entities->models,1000000,8546
Automapper,models->entities,1000000,6331
Mapster,entities->models,1000000,92
Mapster,models->entities,1000000,8
Extensions,entities->models,1000000,7320
Extensions,models->entities,1000000,3
Automapper,entities->models,1000000,4346
Automapper,models->entities,1000000,2811
Mapster,entities->models,1000000,0
Mapster,models->entities,1000000,0
Extensions,entities->models,1000000,8235
Extensions,models->entities,1000000,0
Automapper,entities->models,1000000,3056
Automapper,models->entities,1000000,4413
Mapster,entities->models,1000000,0
Mapster,models->entities,1000000,0
Extensions,entities->models,1000000,4633
Extensions,models->entities,1000000,0
Automapper,entities->models,1000000,10235
Automapper,models->entities,1000000,6581
Mapster,entities->models,1000000,0
Mapster,models->entities,1000000,0
Extensions,entities->models,1000000,3495
Extensions,models->entities,1000000,0
Automapper,entities->models,1000000,10729
Automapper,models->entities,1000000,12514
Mapster,entities->models,1000000,0
Mapster,models->entities,1000000,0
Extensions,entities->models,1000000,6070
Extensions,models->entities,1000000,0
